segment_id,action_label,confidence,start_global_frame_index,end_global_frame_index,frame_count,crosses_row_boundary,recommended_for_clip
1,walk,0.651,0,79,80,True,True
2,run,0.5778,80,111,32,True,True
3,idle,1.0,112,449,338,True,True
4,walk,1.0,450,469,20,False,True
5,unusable_partial,0.0,470,470,1,False,False
6,walk,1.0,471,478,8,False,True
7,run,0.725,479,480,2,False,True
8,walk,1.0,481,481,1,False,False
9,run,0.965,482,499,18,False,True
10,sit,0.7202,500,503,4,False,True
11,dance,0.6246,504,549,46,False,True
12,run,0.6344,550,567,18,False,True
13,walk,1.0,568,588,21,False,True
14,run,0.75,589,589,1,False,False
15,jump,0.4904,590,608,19,True,True
16,run,0.5564,609,614,6,False,True
17,unusable_partial,0.0,615,615,1,False,False
18,run,0.6651,616,624,9,False,True
19,unusable_partial,0.0,625,625,1,False,False
20,run,0.6863,626,633,8,False,True
21,unusable_partial,0.0,634,634,1,False,False
22,run,0.5791,635,637,3,False,True
23,unusable_partial,0.0,638,638,1,False,False
24,run,0.5588,639,639,1,False,False
25,half_crouch_sneak,0.6834,640,658,19,True,True
26,run,0.5651,659,665,7,False,True
27,unusable_partial,0.0,666,666,1,False,False
28,run,0.5963,667,689,23,False,True
29,full_crouch,0.2518,690,708,19,True,True
30,unusable_partial,0.0,709,719,11,False,False
31,run,0.7215,720,744,25,False,True
32,unusable_partial,0.0,745,746,2,False,False
33,run,0.5365,747,749,3,False,True
34,fall,0.3005,750,762,13,False,True
35,run,0.5189,763,764,2,False,True
36,unusable_partial,0.0,765,766,2,False,False
37,run,0.539,767,774,8,False,True
38,unusable_partial,0.0,775,777,3,False,False
39,run,0.5509,778,791,14,False,True
40,unusable_partial,0.0,792,793,2,False,False
41,run,0.5572,794,795,2,False,True
42,unusable_partial,0.0,796,798,3,False,False
43,run,0.5294,799,799,1,False,False
44,unusable_partial,0.0,800,801,2,False,False
45,run,0.5511,802,807,6,False,True
46,unusable_partial,0.0,808,808,1,False,False
47,run,0.581,809,810,2,False,True
48,unusable_partial,0.0,811,812,2,False,False
49,run,0.5235,813,819,7,False,True
50,unusable_partial,0.0,820,822,3,False,False
51,run,0.5245,823,824,2,False,True
52,unusable_partial,0.0,825,827,3,False,False
53,run,0.5244,828,828,1,False,False
54,unusable_partial,0.0,829,829,1,False,False
55,run,0.5312,830,830,1,False,False
56,unusable_partial,0.0,831,831,1,False,False
57,run,0.5588,832,832,1,False,False
58,unusable_partial,0.0,833,834,2,False,False
59,run,0.5777,835,838,4,False,True
60,unusable_partial,0.0,839,839,1,False,False
61,run,0.52,840,840,1,False,False
62,unusable_partial,0.0,841,842,2,False,False
63,run,0.5833,843,843,1,False,False
64,unusable_partial,0.0,844,844,1,False,False
65,run,0.5286,845,846,2,False,True
66,unusable_partial,0.0,847,847,1,False,False
67,run,0.5769,848,848,1,False,False
68,unusable_partial,0.0,849,850,2,True,False
69,run,0.6921,851,853,3,False,True
70,unusable_partial,0.0,854,854,1,False,False
71,run,0.5526,855,856,2,False,True
72,unusable_partial,0.0,857,857,1,False,False
