global_frame_index,row_index,column_index,frame_path,frame_path_os,source_layer_paths,image_size,visible_bbox,bbox_w,bbox_h,bbox_center,feet_base_y,alpha_coverage,blank,partial_or_cut_off,full_body_heuristic_score,anchor_point,notes
0,0,0,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c00.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c00.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 56, 122, 148]",42,92,"[101.0, 102.0]",148.0,11.4418,False,False,0.4,"[101.0, 148.0]",
1,0,1,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c01.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c01.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[85, 57, 121, 159]",36,102,"[103.0, 108.0]",159.0,11.5857,False,False,1.0,"[103.0, 159.0]",
2,0,2,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c02.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c02.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[85, 58, 121, 162]",36,104,"[103.0, 110.0]",162.0,11.2752,False,False,1.0,"[103.0, 162.0]",
3,0,3,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c03.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c03.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 58, 120, 159]",40,101,"[100.0, 108.5]",159.0,11.21605,False,False,1.0,"[100.0, 159.0]",
4,0,4,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c04.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c04.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 56, 120, 152]",40,96,"[100.0, 104.0]",152.0,11.47295,False,False,0.4,"[100.0, 152.0]",
5,0,5,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c05.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c05.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 57, 119, 154]",39,97,"[99.5, 105.5]",154.0,11.6528,False,False,0.4,"[99.5, 154.0]",
6,0,6,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c06.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c06.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 58, 119, 161]",39,103,"[99.5, 109.5]",161.0,11.10315,False,False,1.0,"[99.5, 161.0]",
7,0,7,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c07.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c07.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[80, 57, 120, 158]",40,101,"[100.0, 107.5]",158.0,11.26625,False,False,1.0,"[100.0, 158.0]",
8,0,8,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c08.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c08.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[77, 53, 116, 148]",39,95,"[96.5, 100.5]",148.0,9.895425,False,False,0.4,"[96.5, 148.0]",
9,0,9,res://assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c09.png,assets/characters/generated_player_visuals/c2b_context_classifier/frames/frame_r00_c09.png,"[""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Base/CyberCity_3/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Bottoms/CyberCity_13/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Tops/CyberCity_24/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_2/CyberCity Character Creator Kit/Female/Head/CyberCity_4/Spritesheet.png"", ""assets/characters/pvgames_cyber_city_character_creator_kit/CyberCity_CharacterCreatorKit_1/CyberCity Character Creator Kit/Female/Hair/CyberCity_7/Spritesheet.png""]","[200, 200]","[76, 53, 119, 146]",43,93,"[97.5, 99.5]",146.0,11.2921,False,False,0.4,"[97.5, 146.0]",
