portrait_id,quality,coverage,row,column,region_x,region_y,region_w,region_h,source_sheet_path,cropped_png_res_path,atlas_tres_res_path,suggested_character,notes
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c0,READY_PORTRAIT,0.8906,0,0,0,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c0.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c0.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c1,READY_PORTRAIT,0.8783,0,1,364,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c1.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c1.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c2,READY_PORTRAIT,0.8488,0,2,728,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c2.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c2.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c3,READY_PORTRAIT,0.8881,0,3,1092,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c3.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r0_c3.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c0,READY_PORTRAIT,0.8756,1,0,0,408,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c0.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c0.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c1,READY_PORTRAIT,0.9633,1,1,364,408,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c1.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c1.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c2,READY_PORTRAIT,0.9844,1,2,728,408,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c2.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c2.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c3,READY_PORTRAIT,0.9114,1,3,1092,408,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f-8bf7-1f087ecea19c_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c3.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_6_diffe_7628536f-4c34-4f9f_65918a36_r1_c3.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c0,READY_PORTRAIT,0.5523,0,0,0,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77-bb2d-889d27000089_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c0.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c0.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c1,READY_PORTRAIT,0.5656,0,1,364,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77-bb2d-889d27000089_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c1.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c1.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c2,READY_PORTRAIT,0.4287,0,2,728,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77-bb2d-889d27000089_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c2.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c2.tres,jake,Canonical 1456x816 sheet; using 4x2 grid as instructed.
portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c3,READY_PORTRAIT,0.466,0,3,1092,0,364,408,res://assets/portraits/Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77-bb2d-889d27000089_0.png,res://assets/portraits/generated_slices/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c3.png,res://assets/portraits/generated_slices/atlas_textures/portrait_Sak_pixel_art_character_portrait_pack_cyberpunk_theme_WHITE_B_069c08a9-90d0-4b77_eff15256_r0_c3.tres,,Canonical 1456x816 sheet; using 4x2 grid as instructed.
