asset_id,path,filename,catalog_category,catalog_subcategory,width,height,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,candidate_pools,file_exists,reason_included
pvg_clutter_small_acunit1_1_e75301db,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_1.png,ACUnit1_1.png,CLUTTER_SMALL,industrial_prop,62,31,57,29,15.14,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_2_39f08404,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_2.png,ACUnit1_2.png,CLUTTER_SMALL,industrial_prop,21,61,16,58,33.18,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_3_0645ab4f,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_3.png,ACUnit1_3.png,CLUTTER_SMALL,industrial_prop,60,35,58,31,21.48,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_4_18a5aa02,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_4.png,ACUnit1_4.png,CLUTTER_SMALL,industrial_prop,23,60,16,58,37.97,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_5_5b40ded8,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_5.png,ACUnit1_5.png,CLUTTER_SMALL,industrial_prop,52,54,49,53,47.65,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_6_bbe94fde,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_6.png,ACUnit1_6.png,CLUTTER_SMALL,industrial_prop,53,54,49,53,48.6,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_7_46d6d3cd,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_7.png,ACUnit1_7.png,CLUTTER_SMALL,industrial_prop,55,54,49,53,50.03,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit1_8_fa46b760,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit1_8.png,ACUnit1_8.png,CLUTTER_SMALL,industrial_prop,51,54,49,52,46.22,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit2_1_3b63b981,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_1.png,ACUnit2_1.png,CLUTTER_SMALL,industrial_prop,65,47,64,44,18.23,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit2_2_95470662,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_2.png,ACUnit2_2.png,CLUTTER_SMALL,industrial_prop,27,80,21,78,32.18,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit2_3_243bc8c3,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_3.png,ACUnit2_3.png,CLUTTER_SMALL,industrial_prop,65,55,64,53,25.62,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit2_4_de265656,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_4.png,ACUnit2_4.png,CLUTTER_SMALL,industrial_prop,24,80,21,79,23.7,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit2_5_d7f65b5d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_5.png,ACUnit2_5.png,CLUTTER_SMALL,industrial_prop,62,69,57,68,43.76,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
pvg_clutter_small_acunit2_6_f83742e5,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit2_6.png,ACUnit2_6.png,CLUTTER_SMALL,industrial_prop,63,69,58,68,44.54,"[""C_LARGE_OBJECT_PAINT""]",True,C_LARGE_OBJECT_PAINT
