asset_id,path,filename,catalog_category,catalog_subcategory,width,height,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,candidate_pools,file_exists,reason_included,inferred_family,classification,reason,recommended_palette,recommended_layer,recommended_z_index,recommended_tileset_handling,recommended_tilemap_layer,collision_disabled,notes,tile_preview_width,tile_preview_height,visible_alpha_bbox,transparent_percentage,coverage_percentage,palette_name,tile_id,source_region,classification_before_tileset_creation,post_creation_quality_classification,quality_reason,recommended_action,quality_warning,review_inspection_passes
pvg_tileset_atlas_building13_1_7b8fbadd,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building13_1.png,Building13_1.png,TILESET_ATLAS,atlas_or_large_sheet,773,792,762,787,12.52,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,773,792,"[5, 4, 767, 791]",12.52,87.48,large_structure,large_structure_Building13_1_7b8fba,"[0, 0, 773, 792]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building4_2_c82b655d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building4_2.png,Building4_2.png,TILESET_ATLAS,atlas_or_large_sheet,657,787,645,777,15.57,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,657,787,"[6, 5, 651, 782]",15.57,84.43,large_structure,large_structure_Building4_2_c82b65,"[0, 0, 657, 787]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building4_4_dfaa54bb,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building4_4.png,Building4_4.png,TILESET_ATLAS,atlas_or_large_sheet,731,762,719,756,17.21,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,731,762,"[6, 1, 725, 757]",17.21,82.79,large_structure,large_structure_Building4_4_dfaa54,"[0, 0, 731, 762]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building1_2_31925375,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building1_2.png,Building1_2.png,TILESET_ATLAS,atlas_or_large_sheet,717,721,708,712,19.96,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,717,721,"[5, 6, 713, 718]",19.96,80.04,large_structure,large_structure_Building1_2_319253,"[0, 0, 717, 721]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building6_1_fe76b08b,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_1.png,Building6_1.png,TILESET_ATLAS,atlas_or_large_sheet,679,737,672,726,18.95,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,679,737,"[6, 6, 678, 732]",18.95,81.05,large_structure,large_structure_Building6_1_fe76b0,"[0, 0, 679, 737]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building6_2_598ecef7,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_2.png,Building6_2.png,TILESET_ATLAS,atlas_or_large_sheet,655,774,644,765,23.48,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,655,774,"[5, 3, 649, 768]",23.48,76.52,large_structure,large_structure_Building6_2_598ece,"[0, 0, 655, 774]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building6_3_c6941ab6,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_3.png,Building6_3.png,TILESET_ATLAS,atlas_or_large_sheet,670,685,659,676,14.5,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,670,685,"[5, 4, 664, 680]",14.5,85.5,large_structure,large_structure_Building6_3_c6941a,"[0, 0, 670, 685]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building36_2_92910355,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building36_2.png,Building36_2.png,TILESET_ATLAS,atlas_or_large_sheet,656,794,644,786,25.51,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,656,794,"[6, 3, 650, 789]",25.51,74.49,large_structure,large_structure_Building36_2_929103,"[0, 0, 656, 794]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building6_4_0c636e66,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_4.png,Building6_4.png,TILESET_ATLAS,atlas_or_large_sheet,695,696,687,686,19.89,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,695,696,"[6, 4, 693, 690]",19.89,80.11,large_structure,large_structure_Building6_4_0c636e,"[0, 0, 695, 696]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building36_3_71a991c6,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building36_3.png,Building36_3.png,TILESET_ATLAS,atlas_or_large_sheet,693,779,687,771,26.34,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,693,779,"[5, 2, 692, 773]",26.34,73.66,large_structure,large_structure_Building36_3_71a991,"[0, 0, 693, 779]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_building1_3_cb5f8d5d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building1_3.png,Building1_3.png,TILESET_ATLAS,atlas_or_large_sheet,725,600,717,591,17.85,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,725,600,"[6, 3, 723, 594]",17.85,82.15,large_structure,large_structure_Building1_3_cb5f8d,"[0, 0, 725, 600]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
pvg_tileset_atlas_buildingkiosk10_3_2ea2a658,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/BuildingKiosk10_3.png,BuildingKiosk10_3.png,TILESET_ATLAS,atlas_or_large_sheet,723,559,711,548,15.29,"[""A_PRIMARY_ATLAS"", ""C_LARGE_OBJECT_PAINT""]",True,"A_PRIMARY_ATLAS, C_LARGE_OBJECT_PAINT",large_structure,LARGE_STRUCTURE_SPRITE,Large structure/facade/transit object belongs in a separate large palette.,large_structure,PropLayer,-140,Add as one large-object paint tile; use carefully.,LargeStructureTileMapLayer / ArtRoot/World/PropLayer,True,Derived from catalog; no user-pasted asset list required.,723,559,"[6, 5, 717, 553]",15.29,84.71,large_structure,large_structure_BuildingKiosk10_3_2ea2a6,"[0, 0, 723, 559]",LARGE_STRUCTURE_SPRITE,READY_TO_PAINT,Large coherent structure; use carefully.,keep in production palette,large object,1
