tileset_path,original_palette,palette,tile_id,source_asset_id,source_path,source_filename,source_region,preview_width,preview_height,visible_alpha_bbox,transparent_percentage,pre_tileset_classification,post_creation_quality_classification,reason,recommended_action
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0000,CS_0622,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Garbage1_3.png,Garbage1_3.png,"[0, 0, 48, 48]",48,48,"[0, 0, 48, 48]",32.682,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0001,CS_1508,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Tires2_1.png,Tires2_1.png,"[0, 0, 48, 48]",48,48,"[0, 0, 48, 48]",29.601,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0002,CS_1511,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Tires2_4.png,Tires2_4.png,"[0, 0, 48, 48]",48,48,"[0, 0, 48, 48]",27.561,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0003,CS_1513,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Tires2_6.png,Tires2_6.png,"[0, 0, 48, 48]",48,48,"[0, 0, 48, 48]",28.038,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0004,CS_0620,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Garbage1_1.png,Garbage1_1.png,"[0, 0, 50, 50]",50,50,"[0, 0, 50, 50]",40.64,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0005,CS_1090,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Sandbag1_5.png,Sandbag1_5.png,"[0, 0, 59, 48]",59,48,"[0, 0, 59, 48]",41.631,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0006,CS_1093,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Sandbag1_8.png,Sandbag1_8.png,"[0, 0, 59, 48]",59,48,"[0, 0, 59, 48]",42.444,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0007,CS_0633,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Garbage2_6.png,Garbage2_6.png,"[0, 0, 61, 61]",61,61,"[0, 0, 61, 61]",31.578,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0008,CS_0634,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Garbage2_7.png,Garbage2_7.png,"[0, 0, 64, 64]",64,64,"[0, 0, 64, 64]",29.272,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
res://assets/tilesets/pvgames_central_security_paintable/PVGamesCentralSecurityReviewOnlyPaint.tres,review_only,review_only,review_only_0009,CS_1517,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Tires3_2.png,Tires3_2.png,"[0, 0, 50, 65]",50,65,"[0, 0, 50, 65]",20.769,SINGLE_TILE_SPRITE,REVIEW_MANUALLY,Review-only candidate.,keep in review palette
