path,file_name,category_guess,width,height,aspect_ratio,has_alpha,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_width,bbox_height,bbox_aspect_ratio,transparent_padding_left,transparent_padding_right,transparent_padding_top,transparent_padding_bottom,transparent_percent,coverage_percent,corner_transparency_ratios,row_width_profile,rough_shape_classification,classification,confidence,notes
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\Floor1_1.png,Floor1_1.png,floor,740,424,1.7453,True,5,5,733,417,729,413,1.7651,5,6,5,6,4.51,95.49,"{""top_left"": 0.1084, ""top_right"": 0.1162, ""bottom_left"": 0.1093, ""bottom_right"": 0.1154}","{""samples_at_0_25_50_75_100_percent"": [0, 727, 727, 727, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 728, ""peak_row_index"": 112, ""monotonic_diamond_score"": 0.9976}",atlas/sheet,CATEGORY E - TRUE TILESHEET / ATLAS,0.55,large image or atlas-like filename
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\Floor1_2.png,Floor1_2.png,floor,585,531,1.1017,True,5,6,578,525,574,520,1.1038,5,6,6,5,4.1,95.9,"{""top_left"": 0.0972, ""top_right"": 0.1058, ""bottom_left"": 0.0971, ""bottom_right"": 0.1051}","{""samples_at_0_25_50_75_100_percent"": [0, 574, 573, 574, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 574, ""peak_row_index"": 11, ""monotonic_diamond_score"": 0.9925}",atlas/sheet,CATEGORY E - TRUE TILESHEET / ATLAS,0.55,large image or atlas-like filename
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\Floor1_3.png,Floor1_3.png,floor,921,656,1.404,True,2,1,920,654,919,654,1.4052,2,0,1,1,50.37,49.63,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 466, 821, 461, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 821, ""peak_row_index"": 295, ""monotonic_diamond_score"": 0.9664}",atlas/sheet,CATEGORY E - TRUE TILESHEET / ATLAS,0.55,large image or atlas-like filename
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\Floor1_4.png,Floor1_4.png,floor,919,657,1.3988,True,1,1,917,656,917,656,1.3979,1,1,1,0,50.22,49.78,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 463, 820, 467, 3], ""min_visible_row_width"": 0, ""max_visible_row_width"": 821, ""peak_row_index"": 296, ""monotonic_diamond_score"": 0.9741}",atlas/sheet,CATEGORY E - TRUE TILESHEET / ATLAS,0.55,large image or atlas-like filename
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\FloorMat1_1.png,FloorMat1_1.png,floor,49,45,1.0889,True,3,0,47,44,45,45,1.0,3,1,0,0,19.5,80.5,"{""top_left"": 0.6049, ""top_right"": 0.4321, ""bottom_left"": 0.6914, ""bottom_right"": 0.2099}","{""samples_at_0_25_50_75_100_percent"": [7, 43, 42, 42, 1], ""min_visible_row_width"": 1, ""max_visible_row_width"": 43, ""peak_row_index"": 10, ""monotonic_diamond_score"": 0.9545}",unclear,CATEGORY F - UNCLEAR / OTHER,0.45,floor-like filename but pixel shape does not strongly match diamond or square cell
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\FloorMat1_2.png,FloorMat1_2.png,floor,67,37,1.8108,True,1,4,62,35,62,32,1.9375,1,4,4,1,28.4,71.6,"{""top_left"": 0.8681, ""top_right"": 0.7363, ""bottom_left"": 0.5714, ""bottom_right"": 0.6154}","{""samples_at_0_25_50_75_100_percent"": [0, 61, 60, 58, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 61, ""peak_row_index"": 7, ""monotonic_diamond_score"": 1.0}",diamond-ish,CATEGORY A - TRUE DIAMOND / ISOMETRIC FLOOR CELL,0.85,"2:1 bbox, transparent corners, diamond-like row profile"
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\FloorMat1_3.png,FloorMat1_3.png,floor,49,48,1.0208,True,1,3,45,46,45,44,1.0227,1,3,3,1,24.74,75.26,"{""top_left"": 0.4444, ""top_right"": 0.7778, ""bottom_left"": 0.5309, ""bottom_right"": 0.6914}","{""samples_at_0_25_50_75_100_percent"": [0, 42, 42, 42, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 43, ""peak_row_index"": 23, ""monotonic_diamond_score"": 0.9362}",unclear,CATEGORY F - UNCLEAR / OTHER,0.45,floor-like filename but pixel shape does not strongly match diamond or square cell
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\FloorMat1_4.png,FloorMat1_4.png,floor,63,36,1.75,True,0,1,61,34,62,34,1.8235,0,1,1,1,21.25,78.75,"{""top_left"": 0.5833, ""top_right"": 0.619, ""bottom_left"": 0.2262, ""bottom_right"": 0.6071}","{""samples_at_0_25_50_75_100_percent"": [0, 57, 59, 61, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 61, ""peak_row_index"": 26, ""monotonic_diamond_score"": 0.9714}",diamond-ish,CATEGORY A - TRUE DIAMOND / ISOMETRIC FLOOR CELL,0.85,"2:1 bbox, transparent corners, diamond-like row profile"
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\FloorMat1_5.png,FloorMat1_5.png,floor,74,53,1.3962,True,4,2,72,51,69,50,1.38,4,1,2,1,54.44,45.56,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [0, 34, 64, 36, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 64, ""peak_row_index"": 26, ""monotonic_diamond_score"": 0.9808}",unclear,CATEGORY F - UNCLEAR / OTHER,0.45,floor-like filename but pixel shape does not strongly match diamond or square cell
C:\Users\jtben\Documents\PBD 2026\OpenClaw\main\games\my-2d-game\assets\tilesets\cyber_city_core_tilesets\CyberCity_Core_Tiles_2\CyberCity_Core_Tiles_2\FloorMat1_6.png,FloorMat1_6.png,floor,71,52,1.3654,True,1,0,69,50,69,51,1.3529,1,1,0,1,51.3,48.7,"{""top_left"": 1.0, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 1.0}","{""samples_at_0_25_50_75_100_percent"": [1, 39, 58, 35, 0], ""min_visible_row_width"": 0, ""max_visible_row_width"": 58, ""peak_row_index"": 26, ""monotonic_diamond_score"": 1.0}",unclear,CATEGORY F - UNCLEAR / OTHER,0.45,floor-like filename but pixel shape does not strongly match diamond or square cell
