object_id,source_set,source_kind,original_asset_id,source_png_path,filename,width,height,alpha_bbox,transparent_percentage,quality_classification,recommended_object_category,recommended_container,recommended_z_index,recommended_default_scale,recommended_pivot_mode,rotation_visually_safe,reason_included,notes
pvg_obj_core_large_structure_building13_1_0001,core,verified_tile,pvg_tileset_atlas_building13_1_7b8fbadd,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building13_1.png,Building13_1.png,773,792,"[5, 4, 767, 791]",12.52,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building4_2_0002,core,verified_tile,pvg_tileset_atlas_building4_2_c82b655d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building4_2.png,Building4_2.png,657,787,"[6, 5, 651, 782]",15.57,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building4_4_0003,core,verified_tile,pvg_tileset_atlas_building4_4_dfaa54bb,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building4_4.png,Building4_4.png,731,762,"[6, 1, 725, 757]",17.21,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building1_2_0004,core,verified_tile,pvg_tileset_atlas_building1_2_31925375,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building1_2.png,Building1_2.png,717,721,"[5, 6, 713, 718]",19.96,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building6_1_0005,core,verified_tile,pvg_tileset_atlas_building6_1_fe76b08b,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_1.png,Building6_1.png,679,737,"[6, 6, 678, 732]",18.95,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building6_2_0006,core,verified_tile,pvg_tileset_atlas_building6_2_598ecef7,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_2.png,Building6_2.png,655,774,"[5, 3, 649, 768]",23.48,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building6_3_0007,core,verified_tile,pvg_tileset_atlas_building6_3_c6941ab6,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_3.png,Building6_3.png,670,685,"[5, 4, 664, 680]",14.5,READY_TO_PAINT,large_structure,OccludableObjects,95,1.0,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building36_2_0008,core,verified_tile,pvg_tileset_atlas_building36_2_92910355,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building36_2.png,Building36_2.png,656,794,"[6, 3, 650, 789]",25.51,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building6_4_0009,core,verified_tile,pvg_tileset_atlas_building6_4_0c636e66,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building6_4.png,Building6_4.png,695,696,"[6, 4, 693, 690]",19.89,READY_TO_PAINT,large_structure,OccludableObjects,95,1.0,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
pvg_obj_core_large_structure_building36_3_0010,core,verified_tile,pvg_tileset_atlas_building36_3_71a991c6,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/Building36_3.png,Building36_3.png,693,779,"[5, 2, 692, 773]",26.34,READY_TO_PAINT,large_structure,OccludableObjects,95,0.65,VISIBLE_ALPHA_CENTER,"no, baked perspective warning",Large structure/facade/transit object belongs in a separate large palette.,Use as an individually transformable Node2D/Sprite2D object; visual-only.
