icon_id,source_set,source_png_path,source_filename,source_type,atlas_region_rect,width,height,visible_bbox,transparent_percentage,quality_classification,primary_category,recommended_uses,recommended_ui_control,recommended_dock_asset_type,recommended_world_container,recommended_default_world_scale,recommended_z_index_role,notes,warnings
pvg_icon_cyber_city_icons_cyber_accessory_10_female_aa10aeea,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_10_Female.png,Accessory_10_Female.png,individual_png,,512,512,"[131, 2, 429, 508]",85.656,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_10_male_c6399393,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_10_Male.png,Accessory_10_Male.png,individual_png,,512,512,"[85, 10, 393, 508]",84.352,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_11_female_1ac6291a,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_11_Female.png,Accessory_11_Female.png,individual_png,,512,512,"[209, 6, 369, 508]",85.211,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_11_male_90235adf,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_11_Male.png,Accessory_11_Male.png,individual_png,,512,512,"[171, 2, 346, 507]",83.689,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_12_female_5be7e731,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_12_Female.png,Accessory_12_Female.png,individual_png,,512,512,"[165, 1, 295, 507]",86.818,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_12_male_a0e7311c,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_12_Male.png,Accessory_12_Male.png,individual_png,,512,512,"[164, 4, 318, 504]",85.738,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_13_female_5b0d9a0e,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_13_Female.png,Accessory_13_Female.png,individual_png,,512,512,"[71, 17, 390, 489]",61.619,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_13_male_d6a3f949,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_13_Male.png,Accessory_13_Male.png,individual_png,,512,512,"[82, 35, 380, 475]",67.474,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_14_female_db6dcde8,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_14_Female.png,Accessory_14_Female.png,individual_png,,512,512,"[93, 9, 406, 501]",60.274,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_accessory_14_male_728a80c5,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_14_Male.png,Accessory_14_Male.png,individual_png,,512,512,"[57, 11, 400, 508]",58.654,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
