kind,path,node_path,system_area,classification,confidence,cleanup_risk,recommended_action,notes
autoload,project.godot::autoload.GameState,,startup_autoload,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Core mission/meta state container
autoload,project.godot::autoload.SceneManager,,startup_flow,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Owns global scene transitions
scene,scenes/MainMenu.tscn,/root/MainMenu,startup_ui,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Verified with play_scene mode=main
scene,scenes/hideout/HideoutHub.tscn,/root/HideoutHubRoot,hideout_loop,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Contains managers and layered world
scene,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,/root/TacoBellIso_Editable,mission_runtime,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Primary mission baseline
script,src/levels/IsoMissionBase.gd,,mission_framework,KEEP_BUT_REFACTOR_LATER,high,HIGH_RISK_DO_NOT_TOUCH_YET,modularize_later,"Large, highly coupled file"
script,src/missions/iso/authoring/SecurityAuthoringRoot.gd,GameplayRoot/SecurityAuthoringRoot,security_authoring,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Authoring aggregator
script,src/missions/iso/runtime/MissionAuthoringRuntimeBuilder.gd,,security_runtime_builder,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Key authorable->runtime bridge
script,src/missions/iso/runtime/CollectibleAuthoringRuntimeBuilder.gd,GameplayRoot/GeneratedRuntimeInteractables/AuthoredGeneratedInteractables,collectible_runtime_builder,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Supports poop/case cash/polaroid/tiny/glow/clue
script,src/missions/iso/runtime/AuthoredPhase0JInteractablePickup.gd,,interaction_collectibles,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Defers persistence to mission commit
script,src/missions/iso/runtime/AuthoredCollectiblePickup.gd,,legacy_collectible_runtime,LEGACY_DO_NOT_USE,high,LOW_RISK_QUARANTINE_CANDIDATE,quarantine_later,Do not remove in this audit
script,src/missions/iso/runtime/MissionCollectibleHideoutSync.gd,,hideout_sync,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Case cash + display sync bridge
script,src/missions/iso/runtime/MissionAuthoredCollectiblePersistence.gd,,collectible_persistence,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Protects replay/idempotency
script,src/missions/iso/runtime/Phase0KMissionCompletionController.gd,GameplayRoot/RuntimeHelpers/Phase0KMissionCompletionController,mission_completion,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Includes fallback gate path
script,src/missions/iso/runtime/Phase0KLouisExitInteractable.gd,GameplayRoot/GeneratedRuntimeInteractables/LouisExitToken,mission_completion,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,End-of-mission exit interaction
script,src/missions/iso/runtime/Phase0JInteractionBridge.gd,GameplayRoot/RuntimeHelpers/Phase0JInteractionBridge,input_interaction,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Critical interaction router
script,src/missions/iso/runtime/IsoMissionDebugPanel.gd,IsoMissionDebugPanel,debug_tools,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,retain_debug_tooling,Developer visibility layer
script,src/hideout/HideoutManager.gd,GameplayRoot/Managers/HideoutManager,hideout_orchestration,KEEP_BUT_REFACTOR_LATER,high,HIGH_RISK_DO_NOT_TOUCH_YET,modularize_later,"Manager-heavy, multi-responsibility"
script,src/hideout/HideoutStateController.gd,GameplayRoot/Managers/HideoutStateController,hideout_state,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Meta-loop state anchor
script,src/missions/MissionSceneResolver.gd,,mission_routing,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve,Distinguishes playable vs legacy paths
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/SecurityAuthoringRoot,security_authoring,KEEP_ACTIVE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Authoring source of truth
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/SecurityAuthoringRoot/CollectibleAuthoringProof,collectible_authoring,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve,Proof cluster still active for authoring
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/SecurityAuthoringRoot/**/@Label@*,scene_clutter,UNKNOWN_NEEDS_MANUAL_REVIEW,medium,HIGH_RISK_DO_NOT_TOUCH_YET,manual_review_before_any_move,Potential editor/plugin residue; may still assist authoring workflows
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/GeneratedRuntimeInteractables,runtime_generation,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Core generated runtime surface
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/GeneratedRuntimeMarkerDebugInteractables,debug_generation,KEEP_BUT_REFACTOR_LATER,high,MEDIUM_RISK_SCENE_CLEANUP,reduce_only_with_parity_tests,Noisy but likely useful for debug/playtest
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/MarkerRoot,marker_system,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve,May contain legacy + active marker data
node,scenes/hideout/HideoutHub.tscn,GameplayRoot/Managers,hideout_orchestration,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Core hideout stack
tilemap,scenes/hideout/HideoutHub.tscn,ArtRoot/World/FloorLayer/PVGamesFloorPaintLayer,tilemap_visual,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve,Active visual paint layer
tilemap,scenes/hideout/HideoutHub.tscn,ArtRoot/World/WallLayer/PVGamesWallPaintLayer,tilemap_visual,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve,Active wall paint layer
node,scenes/hideout/HideoutHub.tscn,ArtRoot/World/PVG_CatalogPaintLayers,tilemap_pipeline,KEEP_BUT_REFACTOR_LATER,medium,HIGH_RISK_DO_NOT_TOUCH_YET,standardize_later,Useful for future map-paint pipeline but taxonomy is heavy
node,scenes/hideout/HideoutHub.tscn,ArtRoot/World/PVG_DepthPaintLayers,tilemap_pipeline,KEEP_BUT_REFACTOR_LATER,medium,HIGH_RISK_DO_NOT_TOUCH_YET,standardize_later,Potentially core for depth painting
node,scenes/hideout/HideoutHub.tscn,ArtRoot/World/PVG_CentralSecurityPaintLayers,tilemap_pipeline,UNKNOWN_NEEDS_MANUAL_REVIEW,medium,HIGH_RISK_DO_NOT_TOUCH_YET,manual_review_before_changes,Likely paint workflow support
system,src/missions/iso/runtime/IsoMissionDebugPanel.gd,,debug_tools,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve_with_cleanup_plan,Do not remove while debugging/regression needs remain
validator,src/tools/editor/d6_06b_interactable_collectible_hideout_sync/phase0md6_06b_static_validator.py,,validation,KEEP_ACTIVE,high,SAFE_VALIDATOR_ONLY,keep_and_extend,Writes report artifacts when run
validator,src/tools/editor/d6_07_broader_interactable_authoring/phase0md6_07_static_validator.py,,validation,KEEP_ACTIVE,high,SAFE_VALIDATOR_ONLY,keep_and_extend,Report-writing validator
validator,src/tools/editor/d6_07b_authorable_standardization/phase0md6_07b_static_validator.py,,validation,KEEP_ACTIVE,high,SAFE_VALIDATOR_ONLY,keep_and_extend,Important for safe authoring standardization
validator,src/tools/editor/d6_08a_security_authorables/phase0md6_08a_security_authorable_validator.py,,validation,KEEP_ACTIVE,high,SAFE_VALIDATOR_ONLY,keep_and_extend,Critical for security authoring hygiene
test,tests/d6_06/MissionAuthoredCollectiblePersistenceTest.gd,,testing,KEEP_ACTIVE,high,SAFE_VALIDATOR_ONLY,keep_and_expand,Run skipped in this audit due write-risk policy
doc,docs/AUTHORABLE_NODES_GUIDE.md,,authoring_docs,FUTURE_USEFUL,high,SAFE_DOCS_ONLY,maintain,Supports plug-and-play authoring onboarding
doc,docs/SECURITY_AUTHORABLES_GUIDE.md,,authoring_docs,FUTURE_USEFUL,high,SAFE_DOCS_ONLY,maintain,Key roadmap-aligned documentation
tilemap,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/*TileMapLayer + ArtRoot/*TileMapLayer,tilemap_runtime,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Foundational gameplay/art layering
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/**/CollisionShape2D,scene_clutter,UNKNOWN_NEEDS_MANUAL_REVIEW,medium,HIGH_RISK_DO_NOT_TOUCH_YET,profile_before_cleanup,Could include required boundaries/trigger volumes
node,scenes/missions_iso/TacoBellIso_Editable_RedesignTest.tscn,GameplayRoot/**/Label,scene_clutter,KEEP_BUT_REFACTOR_LATER,medium,MEDIUM_RISK_SCENE_CLEANUP,trim_with_scene_diff_later,Many labels are debug/authoring support
scene,scenes/missions_iso/TacoBellIso_Editable.tscn,,legacy_scene_variants,UNKNOWN_NEEDS_MANUAL_REVIEW,medium,HIGH_RISK_DO_NOT_TOUCH_YET,manual_reference_audit_first,May support bake/legacy workflows
autoload,src/autoload/SaveManager.gd,,save_load,PROTECTED_BASELINE,high,NEVER_REMOVE_CURRENTLY_PROTECTED,preserve,Critical persistence service
autoload,src/collectibles/CollectibleManager.gd,,collectibles_global,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve,Global collectible registry
autoload,project.godot::autoload.MCP*,,tooling_runtime,KEEP_ACTIVE,high,HIGH_RISK_DO_NOT_TOUCH_YET,preserve_unless_tooling_policy_changes,Required for current MCP inspection workflows
